id,country,year,primary_energy_consumption,co2_emissions,percapita_consumption,coal_consumption,gas_consumption,geothermal_consumption,hydro_consumption,nuclear_consumption,oil_consumption,renewable_consumption,wind_consumption
23,Algeria,1987,1.03,62.7,43.5,0.04,0.62,0,0.01,0,0.36,0,0
24,Algeria,1988,1.1,66.9,45.4,0.04,0.7,0,0,0,0.36,0,0
25,Algeria,1989,1.07,65.1,43,0.04,0.66,0,0,0,0.37,0,0
26,Algeria,1990,1.13,65.4,44.4,0.03,0.7,0,0,0,0.4,0,0
27,Algeria,1991,1.12,65.3,43,0.03,0.69,0,0,0,0.4,0,0
28,Algeria,1992,1.15,66.6,43.1,0.03,0.72,0,0,0,0.4,0,0
29,Algeria,1993,1.07,62.1,39.2,0.03,0.64,0,0,0,0.4,0,0
30,Algeria,1994,1.09,62.8,38.9,0.03,0.68,0,0,0,0.38,0,0
31,Algeria,1995,1.13,65.2,39.6,0.03,0.73,0,0,0,0.37,0,0
32,Algeria,1996,1.12,64.3,38.5,0.01,0.75,0,0,0,0.35,0,0
33,Algeria,1997,1.07,61.8,36.4,0.02,0.7,0,0,0,0.35,0,0
34,Algeria,1998,1.11,64.4,37.1,0.02,0.72,0,0,0,0.36,0,0
35,Algeria,1999,1.12,64.4,36.9,0.02,0.74,0,0,0,0.36,0,0
36,Algeria,2000,1.08,62.6,35.1,0.02,0.69,0,0,0,0.37,0,0
37,Algeria,2001,1.12,64.9,35.9,0.02,0.71,0,0,0,0.38,0,0
38,Algeria,2002,1.16,67.9,36.6,0.03,0.7,0,0,0,0.43,0,0
39,Algeria,2003,1.21,71,37.8,0.03,0.74,0,0,0,0.44,0,0
40,Algeria,2004,1.26,74.3,38.7,0.03,0.76,0,0,0,0.46,0,0
41,Algeria,2005,1.32,76.9,40,0.02,0.8,0,0.01,0,0.48,0,0
42,Algeria,2006,1.37,80.8,40.8,0.04,0.82,0,0,0,0.5,0,0
43,Algeria,2007,1.44,85.2,42.3,0.03,0.84,0,0,0,0.56,0,0
44,Algeria,2008,1.52,90.6,44.1,0.03,0.88,0,0,0,0.61,0,0
45,Algeria,2009,1.62,95.7,45.9,0.02,0.94,0,0,0,0.65,0,0
46,Algeria,2010,1.58,94.6,44.1,0.01,0.91,0,0,0,0.65,0,0
47,Algeria,2011,1.67,100.6,45.8,0.01,0.96,0,0,0,0.69,0,0
48,Algeria,2012,1.83,108.9,49,0.01,1.08,0,0,0,0.74,0,0
49,Algeria,2013,1.93,115.4,50.9,0.01,1.16,0,0,0,0.77,0,0
50,Algeria,2014,2.11,123.6,54.4,0.01,1.3,0,0,0,0.8,0,0
51,Algeria,2015,2.22,129,56.2,0.01,1.37,0,0,0,0.85,0,0
52,Algeria,2016,2.22,127.7,55.1,0,1.39,0,0,0,0.83,0,0
53,Algeria,2017,2.25,130.7,54.6,0.01,1.42,0,0,0,0.81,0.01,0
54,Algeria,2018,2.41,137.3,57.5,0.02,1.56,0,0,0,0.82,0.01,0
55,Algeria,2019,2.5,142.4,58.5,0.02,1.62,0,0,0,0.85,0.01,0
56,Algeria,2020,2.34,132.7,53.8,0.01,1.56,0,0,0,0.76,0.01,0
57,Algeria,2021,2.53,143.9,57.3,0.01,1.72,0,0,0,0.8,0.01,0
58,Algeria,2022,2.47,141.4,54.9,0.01,1.59,0,0,0,0.86,0.01,0
59,Argentina,1965,1.18,82.2,53.6,0.03,0.15,0,0.01,0,0.99,0,0
60,Argentina,1966,1.22,84.5,54.5,0.03,0.16,0,0.01,0,1.02,0,0
61,Argentina,1967,1.26,86.9,55.2,0.03,0.17,0,0.01,0,1.05,0,0
62,Argentina,1968,1.3,89.3,56.2,0.03,0.19,0,0.02,0,1.07,0,0
63,Argentina,1969,1.34,92.2,57.2,0.03,0.19,0,0.01,0,1.11,0,0
64,Argentina,1970,1.27,85.9,53.4,0.04,0.21,0,0.02,0,1,0,0
65,Argentina,1971,1.35,90.8,55.7,0.04,0.23,0,0.02,0,1.07,0,0
66,Argentina,1972,1.37,91.6,55.5,0.03,0.26,0,0.02,0,1.06,0,0
67,Argentina,1973,1.43,94.9,57,0.03,0.29,0,0.03,0,1.07,0,0
68,Argentina,1974,1.48,97.1,58.3,0.04,0.31,0,0.05,0.01,1.07,0,0
69,Argentina,1975,1.45,93.1,56,0.04,0.32,0,0.06,0.03,1.01,0,0
70,Argentina,1976,1.52,97.8,57.9,0.04,0.35,0,0.05,0.03,1.04,0,0
71,Argentina,1977,1.59,102.1,59.5,0.04,0.37,0,0.06,0.02,1.1,0,0
72,Argentina,1978,1.59,99.5,58.6,0.05,0.36,0,0.08,0.03,1.07,0,0
73,Argentina,1979,1.71,106.1,61.9,0.05,0.37,0,0.11,0.03,1.15,0,0
74,Argentina,1980,1.7,101.7,60.6,0.04,0.4,0,0.16,0.02,1.07,0,0
75,Argentina,1981,1.65,97.2,57.9,0.04,0.42,0,0.16,0.03,1,0,0
76,Argentina,1982,1.68,97.2,58.1,0.04,0.48,0,0.19,0.02,0.95,0,0
77,Argentina,1983,1.75,100.1,59.5,0.03,0.52,0,0.2,0.03,0.97,0,0
78,Argentina,1984,1.75,97.8,58.8,0.03,0.55,0,0.21,0.05,0.92,0,0
79,Argentina,1985,1.73,94.6,57.2,0.04,0.56,0,0.22,0.06,0.86,0,0
80,Argentina,1986,1.83,100,59.6,0.04,0.61,0,0.22,0.06,0.9,0,0
81,Argentina,1987,1.91,104.6,61.3,0.05,0.61,0,0.23,0.07,0.96,0,0
82,Argentina,1988,1.95,109.9,61.4,0.05,0.71,0,0.16,0.06,0.97,0,0
83,Argentina,1989,1.88,107.2,58.4,0.05,0.74,0,0.14,0.05,0.89,0,0
84,Argentina,1990,1.85,100.3,56.6,0.04,0.71,0,0.19,0.07,0.83,0,0
85,Argentina,1991,1.88,102.8,56.7,0.04,0.72,0,0.17,0.08,0.87,0,0
86,Argentina,1992,2.01,108.9,60,0.04,0.78,0,0.2,0.07,0.91,0,0
87,Argentina,1993,2.08,107.7,61.1,0.03,0.83,0,0.25,0.08,0.89,0,0
88,Argentina,1994,2.19,114,63.5,0.03,0.85,0,0.29,0.08,0.94,0,0
89,Argentina,1995,2.26,118.9,64.7,0.03,0.94,0,0.28,0.07,0.93,0,0
90,Argentina,1996,2.37,126.3,66.8,0.03,1.08,0,0.24,0.08,0.94,0,0
91,Argentina,1997,2.39,125,66.8,0.02,1,0,0.3,0.08,0.99,0,0
92,Argentina,1998,2.48,132,68.4,0.03,1.07,0,0.28,0.08,1.02,0,0
93,Argentina,1999,2.51,136.5,68.4,0.04,1.13,0,0.23,0.07,1.03,0,0
94,Argentina,2000,2.52,131.4,67.9,0.03,1.16,0,0.3,0.06,0.95,0,0
95,Argentina,2001,2.46,120.7,65.6,0.02,1.09,0,0.39,0.07,0.88,0,0
96,Argentina,2002,2.36,116,62.2,0.02,1.06,0.01,0.38,0.06,0.84,0.01,0
97,Argentina,2003,2.53,125.4,66,0.02,1.21,0.01,0.35,0.08,0.86,0.01,0
98,Argentina,2004,2.68,137.1,69.3,0.03,1.33,0.01,0.32,0.08,0.92,0.01,0
99,Argentina,2005,2.85,145.3,72.8,0.04,1.41,0.01,0.35,0.07,0.96,0.01,0
100,Argentina,2006,2.99,151.2,75.7,0.04,1.46,0.01,0.39,0.08,1.01,0.01,0
101,Argentina,2007,3.12,164.3,78.2,0.05,1.54,0.01,0.32,0.07,1.13,0.01,0
102,Argentina,2008,3.16,165.8,78.4,0.06,1.55,0.01,0.32,0.07,1.14,0.01,0
103,Argentina,2009,3.07,158,75.4,0.03,1.51,0.01,0.35,0.08,1.09,0.01,0
104,Argentina,2010,3.18,166.9,77.4,0.05,1.52,0.02,0.33,0.07,1.18,0.04,0
105,Argentina,2011,3.27,173.1,78.8,0.05,1.58,0.02,0.31,0.06,1.22,0.05,0
106,Argentina,2012,3.4,181.8,81,0.05,1.64,0.02,0.29,0.06,1.3,0.06,0
107,Argentina,2013,3.53,187.6,83.3,0.05,1.66,0.02,0.32,0.06,1.38,0.06,0
108,Argentina,2014,3.53,187.8,82.4,0.06,1.66,0.02,0.32,0.05,1.37,0.07,0.01
109,Argentina,2015,3.59,191.2,83,0.06,1.68,0.02,0.31,0.07,1.4,0.08,0.01
110,Argentina,2016,3.57,190.1,81.8,0.04,1.74,0.01,0.29,0.08,1.35,0.08,0.01
111,Argentina,2017,3.57,188.5,81,0.05,1.74,0.02,0.3,0.06,1.34,0.09,0.01
112,Argentina,2018,3.54,186,79.8,0.05,1.75,0.02,0.31,0.06,1.28,0.09,0.01
113,Argentina,2019,3.34,174.6,74.6,0.03,1.68,0.02,0.26,0.08,1.16,0.14,0.05
114,Argentina,2020,3.13,162.3,69.5,0.04,1.58,0.03,0.22,0.09,1.04,0.16,0.09
115,Argentina,2021,3.48,184.7,76.8,0.05,1.65,0.03,0.19,0.09,1.29,0.21,0.12
116,Argentina,2022,3.6,190.1,79.2,0.05,1.64,0.03,0.2,0.07,1.38,0.24,0.13
117,Australia,1965,1.53,118.8,134.9,0.73,0,0,0.08,0,0.72,0,0
118,Australia,1966,1.61,125.1,138.5,0.75,0,0,0.08,0,0.77,0,0
119,Australia,1967,1.7,132.4,144.2,0.77,0,0,0.08,0,0.84,0,0
120,Australia,1968,1.81,139.7,150.2,0.8,0,0,0.08,0,0.92,0,0
121,Australia,1969,1.88,144.3,153.3,0.83,0.01,0,0.09,0,0.94,0,0
122,Australia,1970,2.05,155.3,163,0.83,0.06,0,0.11,0,1.04,0,0
123,Australia,1971,2.16,161.2,165.9,0.84,0.09,0,0.12,0,1.1,0,0
124,Australia,1972,2.25,168.2,169.5,0.87,0.13,0,0.12,0,1.12,0,0
125,Australia,1973,2.41,178.6,178.3,0.91,0.17,0,0.13,0,1.19,0,0
126,Australia,1974,2.56,189,186.9,0.95,0.19,0,0.15,0,1.27,0,0
127,Australia,1975,2.61,191.9,187.7,0.98,0.21,0.01,0.16,0,1.25,0.01,0
128,Australia,1976,2.7,198.4,192.1,1.01,0.25,0.01,0.15,0,1.28,0.01,0
129,Australia,1977,2.83,208.4,199.4,1.06,0.28,0,0.14,0,1.34,0,0
130,Australia,1978,2.92,215.1,203.4,1.09,0.3,0,0.16,0,1.37,0,0
131,Australia,1979,3.03,223.1,208.6,1.14,0.35,0,0.15,0,1.39,0,0
132,Australia,1980,3.04,224.3,206.7,1.17,0.4,0,0.14,0,1.32,0,0
133,Australia,1981,3.09,227.8,206.8,1.2,0.43,0,0.15,0,1.3,0,0
134,Australia,1982,3.06,226.8,201.7,1.21,0.42,0.01,0.14,0,1.28,0.01,0
135,Australia,1983,2.96,218,192.1,1.21,0.46,0,0.13,0,1.15,0,0
136,Australia,1984,3.07,226.8,197,1.28,0.45,0.01,0.14,0,1.19,0.01,0
137,Australia,1985,3.16,232.8,200.1,1.33,0.48,0.01,0.15,0,1.2,0.01,0
138,Australia,1986,3.22,237.7,201.2,1.36,0.53,0.01,0.15,0,1.18,0.01,0
139,Australia,1987,3.32,245.6,204,1.42,0.54,0.01,0.14,0,1.21,0.01,0
140,Australia,1988,3.47,257.1,209.9,1.49,0.55,0.01,0.15,0,1.27,0.01,0
141,Australia,1989,3.64,270.3,216.9,1.56,0.6,0.01,0.15,0,1.32,0.01,0
142,Australia,1990,3.72,274.9,218.1,1.6,0.6,0.01,0.16,0,1.35,0.01,0
143,Australia,1991,3.69,274.8,213.7,1.63,0.58,0.01,0.17,0,1.31,0.01,0
144,Australia,1992,3.75,278.7,214.9,1.64,0.6,0.01,0.17,0,1.33,0.01,0
145,Australia,1993,3.83,283.3,217.3,1.65,0.62,0.01,0.17,0,1.38,0.01,0
146,Australia,1994,3.98,293.3,223.5,1.69,0.69,0.01,0.17,0,1.42,0.01,0
147,Australia,1995,4.16,307.7,230.8,1.74,0.7,0.01,0.17,0,1.54,0.01,0
148,Australia,1996,4.28,318.1,234.9,1.81,0.7,0.01,0.17,0,1.58,0.01,0
149,Australia,1997,4.38,327.9,238,1.91,0.69,0.01,0.17,0,1.61,0.01,0
150,Australia,1998,4.49,337.4,241.2,1.99,0.71,0.01,0.17,0,1.61,0.01,0
151,Australia,1999,4.67,353,248.4,2.11,0.73,0.01,0.17,0,1.64,0.01,0
152,Australia,2000,4.7,355.1,247.1,2.13,0.74,0.01,0.18,0,1.64,0.01,0
153,Australia,2001,4.74,356.8,246,2.11,0.8,0.01,0.17,0,1.65,0.01,0
154,Australia,2002,4.83,363.4,248,2.16,0.82,0.01,0.17,0,1.66,0.02,0.01
155,Australia,2003,4.9,369.8,248.7,2.22,0.83,0.02,0.17,0,1.66,0.03,0.01
156,Australia,2004,5.06,382.9,253.8,2.31,0.84,0.03,0.16,0,1.7,0.04,0.01
157,Australia,2005,5.08,382.9,251.7,2.3,0.84,0.04,0.16,0,1.72,0.06,0.01
158,Australia,2006,5.3,398.4,258.7,2.36,0.93,0.05,0.15,0,1.78,0.07,0.02
159,Australia,2007,5.42,406.7,260.3,2.34,1.04,0.05,0.13,0,1.82,0.08,0.03
160,Australia,2008,5.51,417.4,259.5,2.44,1.03,0.04,0.12,0,1.85,0.08,0.03
161,Australia,2009,5.43,408.8,250.9,2.36,1.05,0.03,0.13,0,1.81,0.09,0.04
162,Australia,2010,5.43,402,246.7,2.19,1.14,0.03,0.14,0,1.87,0.1,0.05
163,Australia,2011,5.61,407.4,251,2.13,1.19,0.03,0.19,0,1.97,0.12,0.06
164,Australia,2012,5.53,398.7,243.3,2,1.2,0.04,0.17,0,2.02,0.15,0.08
165,Australia,2013,5.6,395.6,242.3,1.89,1.26,0.04,0.19,0,2.08,0.18,0.09
166,Australia,2014,5.64,399.2,240.3,1.88,1.35,0.04,0.14,0,2.07,0.2,0.1
167,Australia,2015,5.77,407.6,242,1.95,1.4,0.04,0.14,0,2.05,0.23,0.11
168,Australia,2016,5.78,406.2,239.1,1.94,1.37,0.04,0.17,0,2.06,0.25,0.13
169,Australia,2017,5.77,404.5,234.5,1.88,1.34,0.04,0.13,0,2.16,0.26,0.13
170,Australia,2018,5.85,402.7,234.3,1.83,1.34,0.04,0.16,0,2.2,0.32,0.15
171,Australia,2019,6.05,407.2,238.5,1.75,1.59,0.04,0.13,0,2.18,0.4,0.18
172,Australia,2020,5.71,377,222.6,1.68,1.53,0.04,0.14,0,1.88,0.48,0.21
173,Australia,2021,5.73,370.4,221.2,1.63,1.44,0.04,0.15,0,1.93,0.59,0.25
174,Australia,2022,5.98,376.3,228.5,1.55,1.5,0.04,0.16,0,2.07,0.7,0.3
175,Austria,1965,0.68,39.5,93.8,0.21,0.06,0,0.17,0,0.24,0,0
176,Austria,1966,0.71,39.8,97.5,0.2,0.07,0,0.18,0,0.26,0,0
177,Austria,1967,0.72,40.1,97.8,0.19,0.06,0,0.19,0,0.28,0,0
178,Austria,1968,0.77,43,104,0.19,0.07,0,0.19,0,0.32,0,0
179,Austria,1969,0.8,46.1,107.4,0.19,0.08,0,0.18,0,0.35,0,0
180,Austria,1970,0.91,51.2,122.6,0.2,0.1,0,0.23,0,0.39,0,0
181,Austria,1971,0.91,53.8,121.5,0.18,0.12,0,0.18,0,0.43,0,0
182,Austria,1972,0.94,54.9,125,0.17,0.13,0,0.18,0,0.46,0,0
183,Austria,1973,1.01,58.3,133.6,0.17,0.14,0,0.2,0,0.5,0,0
184,Austria,1974,1.02,55.6,134.1,0.18,0.15,0,0.24,0,0.45,0,0
185,Austria,1975,1.01,53.6,133.5,0.15,0.15,0,0.25,0,0.46,0,0
186,Austria,1976,1.05,58.4,138.5,0.16,0.17,0,0.22,0,0.49,0,0
187,Austria,1977,1.05,54.1,138.7,0.14,0.17,0,0.27,0,0.47,0,0
188,Austria,1978,1.1,56.9,144.8,0.14,0.18,0,0.27,0,0.51,0,0
189,Austria,1979,1.16,59.4,153.7,0.15,0.18,0,0.3,0,0.53,0,0
190,Austria,1980,1.16,58.2,153,0.15,0.17,0,0.31,0,0.52,0,0
191,Austria,1981,1.12,54.8,148.2,0.16,0.16,0,0.33,0,0.47,0,0
192,Austria,1982,1.08,52.2,143.3,0.15,0.16,0,0.33,0,0.45,0,0
193,Austria,1983,1.08,51.7,143.1,0.16,0.16,0,0.33,0,0.43,0,0
194,Austria,1984,1.07,53.5,141.7,0.18,0.18,0,0.29,0,0.42,0,0
195,Austria,1985,1.14,54.6,150.3,0.18,0.19,0.01,0.33,0,0.42,0.01,0
196,Austria,1986,1.14,54.1,150.5,0.16,0.19,0.01,0.33,0,0.44,0.01,0
197,Austria,1987,1.2,55.1,158.8,0.16,0.2,0.01,0.38,0,0.46,0.01,0
198,Austria,1988,1.18,53.6,156.2,0.15,0.19,0.01,0.38,0,0.45,0.01,0
199,Austria,1989,1.19,53.8,156.4,0.16,0.2,0.01,0.37,0,0.45,0.01,0
200,Austria,1990,1.21,58.2,157.1,0.17,0.22,0.01,0.34,0,0.46,0.01,0
201,Austria,1991,1.27,63.1,163.2,0.18,0.24,0.01,0.33,0,0.5,0.01,0
202,Austria,1992,1.25,57.7,158.8,0.14,0.23,0.02,0.37,0,0.49,0.02,0
203,Austria,1993,1.27,58.1,160.4,0.13,0.24,0.02,0.39,0,0.49,0.02,0
204,Austria,1994,1.26,58.7,158.8,0.13,0.25,0.01,0.38,0,0.49,0.01,0
205,Austria,1995,1.32,61.2,166.3,0.15,0.27,0.02,0.39,0,0.49,0.02,0
206,Austria,1996,1.32,63.1,166.2,0.15,0.29,0.02,0.36,0,0.5,0.02,0
207,Austria,1997,1.35,63.6,169.6,0.15,0.28,0.02,0.38,0,0.51,0.02,0
208,Austria,1998,1.37,63.8,172.1,0.14,0.29,0.02,0.4,0,0.53,0.02,0
209,Austria,1999,1.4,63.1,175.7,0.14,0.29,0.02,0.43,0,0.52,0.02,0
210,Austria,2000,1.41,63.7,175.9,0.15,0.28,0.02,0.45,0,0.51,0.02,0
211,Austria,2001,1.46,68.3,181.5,0.16,0.3,0.02,0.43,0,0.55,0.02,0
212,Austria,2002,1.46,69.4,180.9,0.16,0.29,0.02,0.42,0,0.56,0.02,0
213,Austria,2003,1.48,75.1,181.9,0.17,0.32,0.02,0.35,0,0.61,0.02,0
214,Austria,2004,1.5,73.8,184.1,0.17,0.33,0.02,0.38,0,0.6,0.03,0.01
215,Austria,2005,1.53,74.9,186.2,0.17,0.34,0.03,0.38,0,0.59,0.05,0.01
216,Austria,2006,1.52,72.8,183.3,0.17,0.32,0.04,0.37,0,0.59,0.07,0.02
217,Austria,2007,1.48,69.1,178.8,0.16,0.3,0.05,0.38,0,0.56,0.08,0.02
218,Austria,2008,1.51,69.9,181.7,0.16,0.33,0.05,0.39,0,0.55,0.09,0.02
219,Austria,2009,1.46,63.6,175.6,0.12,0.32,0.05,0.41,0,0.52,0.09,0.02
220,Austria,2010,1.51,67.9,180.9,0.14,0.35,0.05,0.38,0,0.55,0.09,0.02
221,Austria,2011,1.43,65.4,169.9,0.15,0.33,0.05,0.34,0,0.52,0.1,0.02
222,Austria,2012,1.49,62.3,177,0.14,0.31,0.05,0.43,0,0.51,0.1,0.02
223,Austria,2013,1.48,62.8,174.6,0.14,0.3,0.05,0.41,0,0.53,0.11,0.03
224,Austria,2014,1.42,58.6,166.3,0.13,0.27,0.05,0.4,0,0.5,0.12,0.04
225,Austria,2015,1.42,60.6,164.5,0.14,0.29,0.05,0.36,0,0.5,0.14,0.05
226,Austria,2016,1.47,61.5,168.1,0.13,0.3,0.06,0.39,0,0.52,0.14,0.05
227,Austria,2017,1.5,64.3,170.7,0.13,0.33,0.06,0.37,0,0.53,0.15,0.06
228,Austria,2018,1.47,62.3,166.3,0.12,0.31,0.06,0.36,0,0.53,0.15,0.06
229,Austria,2019,1.54,63.9,173.9,0.12,0.32,0.05,0.39,0,0.55,0.16,0.07
230,Austria,2020,1.44,56.2,162.1,0.1,0.31,0.05,0.4,0,0.48,0.15,0.06
231,Austria,2021,1.45,58.5,162.9,0.11,0.32,0.05,0.37,0,0.5,0.16,0.06
232,Austria,2022,1.37,55.7,153.7,0.1,0.28,0.05,0.3,0,0.48,0.17,0.07
233,Azerbaijan,1965,0,0,0,0,0,0,0,0,0,0,0
234,Azerbaijan,1966,0,0,0,0,0,0,0,0,0,0,0
235,Azerbaijan,1967,0,0,0,0,0,0,0,0,0,0,0
236,Azerbaijan,1968,0,0,0,0,0,0,0,0,0,0,0
237,Azerbaijan,1969,0,0,0,0,0,0,0,0,0,0,0
238,Azerbaijan,1970,0,0,0,0,0,0,0,0,0,0,0
239,Azerbaijan,1971,0,0,0,0,0,0,0,0,0,0,0
240,Azerbaijan,1972,0,0,0,0,0,0,0,0,0,0,0
241,Azerbaijan,1973,0,0,0,0,0,0,0,0,0,0,0
242,Azerbaijan,1974,0,0,0,0,0,0,0,0,0,0,0
243,Azerbaijan,1975,0,0,0,0,0,0,0,0,0,0,0
244,Azerbaijan,1976,0,0,0,0,0,0,0,0,0,0,0
245,Azerbaijan,1977,0,0,0,0,0,0,0,0,0,0,0
246,Azerbaijan,1978,0,0,0,0,0,0,0,0,0,0,0
247,Azerbaijan,1979,0,0,0,0,0,0,0,0,0,0,0
248,Azerbaijan,1980,0,0,0,0,0,0,0,0,0,0,0
249,Azerbaijan,1981,0,0,0,0,0,0,0,0,0,0,0
250,Azerbaijan,1982,0,0,0,0,0,0,0,0,0,0,0
251,Azerbaijan,1983,0,0,0,0,0,0,0,0,0,0,0
252,Azerbaijan,1984,0,0,0,0,0,0,0,0,0,0,0
253,Azerbaijan,1985,0.85,50.4,122.7,0,0.48,0,0.01,0,0.35,0,0
254,Azerbaijan,1986,0.91,54.2,129.9,0,0.53,0,0.01,0,0.37,0,0
255,Azerbaijan,1987,0.88,52.2,123.7,0,0.52,0,0.01,0,0.34,0,0
256,Azerbaijan,1988,0.88,52.2,121.6,0,0.52,0,0.01,0,0.35,0,0
257,Azerbaijan,1989,0.9,52.9,122.5,0,0.54,0,0.01,0,0.34,0,0
258,Azerbaijan,1990,0.94,54.4,126.3,0,0.56,0,0.02,0,0.36,0,0
259,Azerbaijan,1991,0.9,52,119.6,0,0.53,0,0.02,0,0.35,0,0
260,Azerbaijan,1992,0.77,44.1,101,0,0.41,0,0.02,0,0.34,0,0
261,Azerbaijan,1993,0.67,41.5,86.5,0,0.3,0,0.03,0,0.34,0,0
262,Azerbaijan,1994,0.62,37.9,78.6,0,0.29,0,0.02,0,0.31,0,0
263,Azerbaijan,1995,0.58,35.9,73.3,0,0.28,0,0.02,0,0.28,0,0
264,Azerbaijan,1996,0.47,29.3,59.7,0,0.21,0,0.02,0,0.25,0,0
265,Azerbaijan,1997,0.45,27.9,56.8,0,0.2,0,0.02,0,0.24,0,0
266,Azerbaijan,1998,0.46,27.9,56.7,0,0.18,0,0.02,0,0.25,0,0
267,Azerbaijan,1999,0.45,27.3,56.1,0,0.2,0,0.02,0,0.24,0,0
268,Azerbaijan,2000,0.48,28.6,58,0,0.19,0,0.02,0,0.27,0,0
269,Azerbaijan,2001,0.46,26.3,55.3,0,0.27,0,0.01,0,0.17,0,0
270,Azerbaijan,2002,0.45,25.9,54,0,0.27,0,0.02,0,0.16,0,0
271,Azerbaijan,2003,0.49,28,57.9,0,0.28,0,0.03,0,0.18,0,0
272,Azerbaijan,2004,0.55,30.8,64.8,0,0.33,0,0.03,0,0.2,0,0
273,Azerbaijan,2005,0.6,33.5,69.4,0,0.34,0,0.03,0,0.23,0,0
274,Azerbaijan,2006,0.59,33.3,67.4,0,0.36,0,0.03,0,0.21,0,0
275,Azerbaijan,2007,0.54,30.7,61.3,0,0.32,0,0.02,0,0.2,0,0
276,Azerbaijan,2008,0.55,30.2,61,0,0.36,0,0.02,0,0.16,0,0
277,Azerbaijan,2009,0.47,25.7,51.7,0,0.31,0,0.02,0,0.14,0,0
278,Azerbaijan,2010,0.46,24.6,50.3,0,0.29,0,0.03,0,0.14,0,0
279,Azerbaijan,2011,0.53,29.1,56.4,0,0.32,0,0.03,0,0.18,0,0
280,Azerbaijan,2012,0.54,30.2,57.4,0,0.34,0,0.02,0,0.19,0,0
281,Azerbaijan,2013,0.56,30.7,57.9,0,0.34,0,0.01,0,0.2,0,0
282,Azerbaijan,2014,0.57,31.4,58.1,0,0.35,0,0.01,0,0.2,0,0
283,Azerbaijan,2015,0.62,33.9,62.8,0,0.4,0,0.02,0,0.2,0,0
284,Azerbaijan,2016,0.61,33.4,61.5,0,0.39,0,0.02,0,0.2,0,0
285,Azerbaijan,2017,0.6,32.4,59.8,0,0.38,0,0.02,0,0.2,0,0
286,Azerbaijan,2018,0.62,33.8,60.8,0,0.39,0,0.02,0,0.21,0,0
287,Azerbaijan,2019,0.65,34.4,63.2,0,0.42,0,0.01,0,0.2,0,0
288,Azerbaijan,2020,0.66,35.2,64.1,0,0.45,0,0.01,0,0.2,0,0
289,Azerbaijan,2021,0.7,37.6,68.3,0,0.46,0,0.01,0,0.23,0,0
290,Azerbaijan,2022,0.7,37.5,67.5,0,0.44,0,0,0,0.25,0,0
291,Bangladesh,1965,0,0,0,0,0,0,0,0,0,0,0
292,Bangladesh,1966,0,0,0,0,0,0,0,0,0,0,0
293,Bangladesh,1967,0,0,0,0,0,0,0,0,0,0,0
294,Bangladesh,1968,0,0,0,0,0,0,0,0,0,0,0
295,Bangladesh,1969,0,0,0,0,0,0,0,0,0,0,0
296,Bangladesh,1970,0,0,0,0,0,0,0,0,0,0,0
297,Bangladesh,1971,0.05,2.8,0.7,0,0.01,0,0,0,0.03,0,0
298,Bangladesh,1972,0.05,3.3,0.8,0,0.01,0,0,0,0.04,0,0
299,Bangladesh,1973,0.07,3.8,1,0.01,0.02,0,0,0,0.04,0,0
300,Bangladesh,1974,0.07,4.1,1,0,0.03,0,0,0,0.04,0,0
301,Bangladesh,1975,0.08,4.7,1,0.01,0.02,0,0,0,0.05,0,0
